address,#hits
109.105.98.161,115130
88.217.233.230,33292
38.87.50.7,33123
195.18.252.218,31768
90.223.190.195,29098
194.109.76.76,28220
194.109.76.67,27999
194.109.76.68,27767
194.109.76.75,27642
195.18.252.214,26783
43.245.105.1,26021
103.2.118.58,25855
72.46.180.6,24981
195.18.252.222,24217
23.246.46.140,22680
45.57.17.136,21672
90.223.190.194,20933
45.57.17.134,20914
76.10.191.86,20891
198.38.109.168,19769
195.18.252.210,19549
82.197.168.210,19285
82.197.168.214,19163
198.38.116.167,18711
194.109.76.66,18283
198.38.116.168,17991
45.57.17.135,17971
45.57.17.133,17873
45.57.16.134,17100
45.57.16.133,16982
198.38.108.239,16942
45.57.16.135,16940
80.202.5.178,13692
208.76.186.58,12534
90.208.115.36,12050
198.38.109.241,11936
109.105.98.159,11529
45.57.16.136,11345
198.38.118.146,11303
90.208.115.35,10948
23.246.47.138,10882
202.124.124.186,10847
208.76.186.62,10750
90.208.115.34,10724
23.246.47.144,10153
23.246.47.135,9733
82.209.163.2,9088
23.246.47.143,9029
150.101.199.55,9019
198.38.114.136,8773
208.76.186.38,8693
82.209.163.10,8678
198.38.115.159,8621
203.184.5.252,8497
208.76.186.34,8417
23.246.47.139,8394
193.192.245.36,8113
37.77.191.143,8092
193.192.245.35,8087
23.246.47.140,7998
213.120.178.97,7868
23.246.47.141,7816
45.57.19.134,7762
37.77.191.147,7751
45.57.19.136,7652
45.57.19.133,7504
212.6.86.2,7501
202.124.127.66,7463
193.192.245.52,7301
95.182.253.179,7160
23.246.47.142,7033
193.192.245.51,6995
95.182.253.178,6983
37.77.190.148,6982
23.246.47.136,6768
198.38.115.137,6480
90.223.190.196,6469
43.245.105.129,6420
62.4.253.149,6272
202.124.127.82,6250
198.38.114.147,6090
79.160.115.7,6003
198.38.114.153,5853
37.77.191.141,5767
23.246.58.141,5729
37.77.190.141,5673
198.38.114.145,5663
37.77.190.147,5596
79.160.115.5,5555
79.160.115.11,5549
37.77.190.149,5530
84.208.42.195,5389
198.38.115.151,5242
45.57.18.136,5215
150.101.199.53,5212
62.4.253.141,5212
198.38.115.161,5170
80.202.5.182,5157
37.77.190.144,5141
62.4.253.145,5139
37.77.191.148,5121
198.38.114.140,5049
80.202.5.180,5042
79.160.115.17,5028
108.175.39.236,5021
62.4.253.143,5004
37.77.191.146,4959
37.77.191.144,4922
