,index,address
0,2001:948:2:29::3,114426
1,2001:a60:91d6:1::4,33409
2,2607:3180:a000:3::a,33242
3,2a02:c7a:8000:fe07::3,28884
4,2401:7400:8888:32::2,25666
5,2607:fe28:0:1206::2,25208
6,2001:888:2000:80::4,22650
7,2001:888:2000:80::3,22333
8,2a00:86c0:1046:1046::140,22302
9,2001:888:2000:81::4,21919
10,2001:888:2000:81::3,21730
11,2a00:86c0:2017:2017::134,20283
12,2001:1620:2777:49::2,20057
13,2a02:c7a:8000:fe07::2,19768
14,2607:c000:1:1401::2,19676
15,2a00:86c0:2017:2017::136,19355
16,2406:e000:204:4::2,19260
17,2a00:86c0:118:118::146,18949
18,2001:1620:2777:48::2,18321
19,2a00:86c0:109:109::168,16979
20,2a00:86c0:2017:2017::133,16681
21,2a00:86c0:a2a6::148,16225
22,2a00:86c0:2017:2017::135,16007
23,2a00:86c0:a2a7::143,16006
24,2a00:86c0:a2a7::147,14806
25,2001:888:2000:80::2,14695
26,2a00:86c0:108:108::239,14651
27,2a00:86c0:a2a6::147,12805
28,2a00:86c0:a2a6::149,12156
29,2a04:983:c00:202::1,12064
30,2a02:c7a:8000:1904::4,11954
31,2607:f060:c013:2::2,11676
32,2607:f0c8:8000:4::15,11547
33,2001:948:2:28::3,11546
34,2a00:86c0:a2a7::141,11495
35,2607:f0c8:8000:4::14,11190
36,2a00:86c0:a2a6::144,10992
37,2001:44b8:a010:f::2,10954
38,2a02:c7a:8000:1904::2,10800
39,2a02:c7a:8000:1904::3,10758
40,2001:44b8:a010:c::2,10407
41,2a00:86c0:a2a6::141,10134
42,2a00:86c0:2016:2016::134,9996
43,2a00:86c0:a2a6::145,9652
44,2607:f060:c013:3::2,9651
45,2a00:86c0:a2a7::148,9475
46,2a00:86c0:a2a7::144,9237
47,2a00:86c0:2016:2016::135,9064
48,2a00:1598:bb2:bb2::66:2,9037
49,2a00:86c0:2016:2016::133,8925
50,2a00:86c0:a2a7::146,8726
51,2a00:1598:bb2:bb2::67:2,8704
52,2a00:86c0:a2a7::140,8370
53,2a00:86c0:a2a7::142,8285
54,2406:e000:204:4::3,8207
55,2607:f060:c011:1::2,7942
56,2a00:86c0:117:117::203,7903
57,2a00:86c0:119:119::156,7849
58,2607:f060:c011:2::2,7837
59,2a00:86c0:a2a7::145,7781
60,2001:bb0:100:11::2,7774
61,2a00:86c0:2016:2016::136,7364
62,2404:440c:2:2906::4,7224
63,2a02:2788:fdf0:11::2,7149
64,2a02:a000:1:212::2:a,7142
65,2001:bb0:100:14::2,7129
66,2001:bb0:100:16::2,7088
67,2a00:86c0:114:114::136,7049
68,2a02:2788:fdf0:11::3,6833
69,2a00:86c0:116:116::200,6705
70,2607:f0c8:8000:4::12,6676
71,2401:7400:8888:31::2,6579
72,2607:f0c8:8000:4::11,6538
73,2a00:86c0:119:119::157,6455
74,2a02:c7a:8000:fe07::4,6432
75,2a00:86c0:119:119::155,6196
76,2607:f0c8:8000:4::13,6179
77,2a02:a000:1:212::1:a,6078
