values; percentile
69.30; 0.00
69.81; 0.00
69.92; 0.00
70.09; 0.00
70.09; 0.00
70.28; 0.00
70.50; 0.00
70.91; 0.00
70.96; 0.00
71.08; 0.00
71.16; 0.00
71.38; 0.00
71.43; 0.00
71.44; 0.00
71.55; 0.00
71.55; 0.00
71.69; 0.00
71.86; 0.00
71.89; 0.00
71.92; 0.00
72.09; 0.00
72.13; 0.00
72.15; 0.00
72.17; 0.00
72.18; 0.00
72.19; 0.00
72.32; 0.00
72.39; 0.00
72.53; 0.00
72.53; 0.00
72.55; 0.00
72.56; 0.00
72.61; 0.00
72.63; 0.00
72.64; 0.00
72.69; 0.00
72.71; 0.00
72.73; 0.00
72.74; 0.00
72.79; 0.00
72.83; 0.00
72.85; 0.00
72.93; 0.00
72.95; 0.00
72.95; 0.00
72.98; 0.00
73.00; 0.00
73.01; 0.00
73.03; 0.00
73.05; 0.00
73.08; 0.00
73.18; 0.00
73.21; 0.00
73.25; 0.00
73.27; 0.00
73.31; 0.00
73.33; 0.00
73.35; 0.00
73.37; 0.00
73.39; 0.00
73.47; 0.00
73.49; 0.00
73.51; 0.00
73.53; 0.00
73.57; 0.00
73.64; 0.00
73.65; 0.00
73.67; 0.00
73.71; 0.00
73.72; 0.00
73.73; 0.00
73.75; 0.00
73.78; 0.00
73.82; 0.00
73.84; 0.00
73.86; 0.00
73.87; 0.00
73.87; 0.00
73.89; 0.00
73.91; 0.00
73.94; 0.00
73.94; 0.00
73.95; 0.00
73.97; 0.00
73.99; 0.00
74.05; 0.00
74.08; 0.00
74.09; 0.00
74.09; 0.00
74.12; 0.00
74.12; 0.00
74.16; 0.00
74.19; 0.00
74.25; 0.00
74.28; 0.00
74.30; 0.00
74.32; 0.00
74.32; 0.00
74.32; 0.00
74.34; 0.00
74.35; 0.00
74.38; 0.00
74.39; 0.00
74.41; 0.00
74.43; 0.00
74.43; 0.00
74.44; 0.00
74.45; 0.00
74.46; 0.00
74.46; 0.00
74.49; 0.00
74.57; 0.00
74.62; 0.00
74.63; 0.00
