values; percentile
1.14; 0.00
1.17; 0.00
1.22; 0.00
1.23; 0.00
1.23; 0.00
1.23; 0.00
1.25; 0.00
1.28; 0.00
1.28; 0.00
1.28; 0.00
1.29; 0.00
1.29; 0.00
1.30; 0.00
1.31; 0.00
1.33; 0.00
1.33; 0.00
1.33; 0.00
1.35; 0.00
1.36; 0.00
1.37; 0.00
1.38; 0.00
1.39; 0.00
1.39; 0.00
1.39; 0.00
1.40; 0.00
1.41; 0.00
1.42; 0.00
1.43; 0.00
1.45; 0.00
1.47; 0.00
1.48; 0.00
1.48; 0.00
1.50; 0.00
1.50; 0.00
1.50; 0.00
1.50; 0.00
1.50; 0.00
1.51; 0.00
1.51; 0.00
1.51; 0.00
1.52; 0.00
1.52; 0.00
1.52; 0.00
1.53; 0.00
1.53; 0.00
1.53; 0.00
1.54; 0.00
1.55; 0.00
1.55; 0.00
1.56; 0.00
1.57; 0.00
1.57; 0.00
1.57; 0.00
1.58; 0.00
1.58; 0.00
1.59; 0.00
1.60; 0.00
1.61; 0.00
1.61; 0.00
1.61; 0.00
1.62; 0.00
1.62; 0.00
1.62; 0.00
1.63; 0.00
1.63; 0.00
1.63; 0.00
1.63; 0.00
1.64; 0.00
1.64; 0.00
1.65; 0.00
1.65; 0.00
1.65; 0.00
1.65; 0.00
1.66; 0.00
1.66; 0.00
1.67; 0.00
1.67; 0.00
1.67; 0.00
1.67; 0.00
1.68; 0.00
1.68; 0.00
1.69; 0.00
1.70; 0.00
1.70; 0.00
1.71; 0.00
1.71; 0.00
1.72; 0.00
1.72; 0.00
1.72; 0.00
1.72; 0.00
1.73; 0.00
1.73; 0.00
1.73; 0.00
1.74; 0.00
1.74; 0.00
1.75; 0.00
1.75; 0.00
1.76; 0.00
1.76; 0.00
1.76; 0.01
1.77; 0.01
1.77; 0.01
1.77; 0.01
1.77; 0.01
1.77; 0.01
1.77; 0.01
1.78; 0.01
1.78; 0.01
1.78; 0.01
1.79; 0.01
1.79; 0.01
1.79; 0.01
1.79; 0.01
1.80; 0.01
1.80; 0.01
1.80; 0.01
1.80; 0.01
1.81; 0.01
1.81; 0.01
1.82; 0.01
1.83; 0.01
1.83; 0.01
1.83; 0.01
1.83; 0.01
1.83; 0.01
1.83; 0.01
1.83; 0.01
1.84; 0.01
1.84; 0.01
1.84; 0.01
1.84; 0.01
1.85; 0.01
1.85; 0.01
1.85; 0.01
1.85; 0.01
1.85; 0.01
1.85; 0.01
1.85; 0.01
1.85; 0.01
1.85; 0.01
1.86; 0.01
1.86; 0.01
1.86; 0.01
1.86; 0.01
1.86; 0.01
1.86; 0.01
1.86; 0.01
1.86; 0.01
1.86; 0.01
1.86; 0.01
1.87; 0.01
