values; percentile
0.02; 0.00
0.08; 0.00
0.12; 0.00
0.17; 0.00
0.20; 0.00
0.23; 0.00
0.24; 0.00
0.25; 0.00
0.27; 0.00
0.29; 0.00
0.29; 0.00
0.32; 0.00
0.33; 0.00
0.33; 0.00
0.35; 0.00
0.37; 0.00
0.39; 0.00
0.39; 0.00
0.40; 0.00
0.41; 0.00
0.41; 0.00
0.42; 0.00
0.43; 0.00
0.43; 0.00
0.50; 0.00
0.51; 0.00
0.52; 0.00
0.52; 0.00
0.53; 0.00
0.53; 0.00
0.54; 0.00
0.59; 0.00
0.61; 0.00
0.61; 0.00
0.62; 0.00
0.62; 0.00
0.62; 0.00
0.62; 0.00
0.63; 0.00
0.65; 0.00
0.65; 0.00
0.65; 0.00
0.66; 0.00
0.66; 0.00
0.66; 0.00
0.66; 0.00
0.66; 0.00
0.67; 0.00
0.67; 0.00
0.68; 0.00
0.70; 0.00
0.71; 0.00
0.71; 0.00
0.71; 0.00
0.71; 0.00
0.72; 0.00
0.74; 0.00
0.74; 0.00
0.74; 0.00
0.74; 0.00
0.75; 0.00
0.75; 0.00
0.76; 0.00
0.76; 0.00
0.76; 0.00
0.77; 0.00
0.77; 0.00
0.78; 0.00
0.78; 0.00
0.78; 0.00
0.78; 0.00
0.79; 0.00
0.79; 0.00
0.80; 0.00
0.80; 0.00
0.80; 0.00
0.81; 0.00
0.81; 0.00
0.81; 0.00
0.81; 0.00
0.81; 0.00
0.82; 0.00
0.82; 0.00
0.82; 0.00
0.83; 0.00
0.83; 0.00
0.83; 0.00
0.84; 0.00
0.84; 0.00
0.84; 0.00
0.84; 0.00
0.85; 0.00
0.85; 0.00
0.85; 0.00
0.85; 0.00
0.85; 0.00
0.86; 0.00
0.86; 0.00
0.86; 0.00
0.86; 0.00
0.87; 0.00
0.88; 0.00
0.88; 0.00
0.88; 0.00
0.88; 0.00
0.88; 0.00
0.89; 0.00
0.89; 0.00
0.89; 0.00
0.89; 0.00
0.89; 0.00
0.90; 0.00
0.90; 0.00
0.90; 0.00
0.90; 0.00
0.90; 0.00
0.91; 0.00
0.91; 0.00
0.91; 0.00
0.91; 0.00
0.91; 0.00
0.92; 0.00
0.92; 0.00
0.93; 0.00
0.93; 0.00
0.93; 0.00
0.94; 0.00
0.94; 0.00
0.94; 0.00
0.94; 0.00
0.95; 0.00
0.95; 0.00
0.95; 0.00
0.96; 0.00
0.96; 0.00
0.96; 0.00
0.96; 0.00
0.96; 0.00
0.96; 0.00
0.96; 0.00
0.96; 0.00
0.97; 0.00
0.97; 0.00
0.97; 0.00
0.97; 0.00
0.98; 0.00
0.98; 0.00
0.98; 0.01
0.99; 0.01
0.99; 0.01
1.00; 0.01
1.00; 0.01
1.00; 0.01
1.00; 0.01
1.00; 0.01
1.01; 0.01
1.01; 0.01
1.01; 0.01
1.01; 0.01
1.02; 0.01
1.03; 0.01
1.03; 0.01
1.03; 0.01
1.03; 0.01
1.03; 0.01
1.04; 0.01
1.04; 0.01
1.04; 0.01
1.04; 0.01
1.04; 0.01
1.04; 0.01
1.05; 0.01
1.05; 0.01
1.05; 0.01
1.05; 0.01
1.05; 0.01
1.05; 0.01
1.06; 0.01
1.06; 0.01
1.06; 0.01
1.06; 0.01
1.06; 0.01
1.06; 0.01
1.06; 0.01
1.06; 0.01
1.07; 0.01
1.07; 0.01
1.07; 0.01
1.08; 0.01
1.08; 0.01
1.08; 0.01
1.08; 0.01
1.08; 0.01
1.09; 0.01
1.09; 0.01
1.09; 0.01
1.09; 0.01
1.10; 0.01
1.10; 0.01
1.10; 0.01
1.10; 0.01
1.10; 0.01
1.10; 0.01
1.10; 0.01
1.10; 0.01
1.10; 0.01
1.10; 0.01
1.11; 0.01
1.11; 0.01
1.11; 0.01
1.11; 0.01
1.11; 0.01
1.11; 0.01
1.12; 0.01
1.12; 0.01
1.12; 0.01
1.12; 0.01
1.12; 0.01
1.12; 0.01
1.12; 0.01
1.12; 0.01
1.12; 0.01
1.13; 0.01
1.13; 0.01
1.13; 0.01
1.13; 0.01
1.13; 0.01
1.13; 0.01
1.13; 0.01
1.14; 0.01
1.14; 0.01
1.14; 0.01
1.14; 0.01
1.14; 0.01
1.15; 0.01
1.15; 0.01
1.15; 0.01
1.15; 0.01
1.15; 0.01
1.15; 0.01
1.15; 0.01
1.15; 0.01
1.15; 0.01
1.15; 0.01
1.15; 0.01
1.16; 0.01
1.16; 0.01
1.16; 0.01
1.16; 0.01
1.16; 0.01
1.16; 0.01
1.16; 0.01
1.17; 0.01
1.17; 0.01
1.17; 0.01
1.17; 0.01
1.17; 0.01
1.17; 0.01
1.17; 0.01
1.17; 0.01
1.17; 0.01
1.17; 0.01
1.18; 0.01
1.18; 0.01
1.18; 0.01
1.18; 0.01
1.19; 0.01
1.19; 0.01
1.19; 0.01
1.19; 0.01
1.19; 0.01
1.19; 0.01
1.19; 0.01
1.19; 0.01
1.20; 0.01
1.20; 0.01
1.20; 0.01
1.20; 0.01
1.20; 0.01
1.20; 0.01
1.20; 0.01
1.20; 0.01
1.21; 0.01
1.21; 0.01
1.21; 0.01
1.21; 0.01
1.21; 0.01
1.21; 0.01
1.21; 0.01
1.21; 0.01
1.21; 0.01
1.21; 0.01
1.21; 0.01
1.22; 0.01
1.22; 0.01
1.22; 0.01
1.22; 0.01
1.22; 0.01
1.22; 0.01
1.22; 0.01
1.22; 0.01
1.23; 0.01
1.23; 0.01
1.23; 0.01
1.23; 0.01
1.23; 0.01
1.23; 0.01
1.23; 0.01
1.23; 0.01
1.23; 0.01
1.23; 0.01
1.23; 0.01
1.23; 0.01
1.24; 0.01
1.24; 0.01
1.24; 0.01
1.24; 0.01
1.24; 0.01
1.24; 0.01
1.24; 0.01
1.24; 0.01
1.24; 0.01
1.24; 0.01
1.24; 0.01
1.24; 0.01
1.24; 0.01
1.24; 0.01
1.24; 0.01
1.24; 0.01
1.24; 0.01
1.25; 0.01
1.25; 0.01
1.25; 0.01
1.25; 0.01
1.25; 0.01
1.25; 0.01
1.25; 0.01
1.25; 0.01
1.25; 0.01
1.25; 0.01
1.25; 0.01
1.25; 0.01
1.25; 0.01
1.25; 0.01
1.25; 0.01
1.26; 0.01
1.26; 0.01
1.26; 0.01
1.26; 0.01
1.26; 0.01
1.26; 0.01
1.26; 0.01
1.26; 0.01
1.26; 0.01
1.26; 0.01
1.26; 0.01
1.26; 0.01
1.26; 0.01
1.26; 0.01
1.26; 0.01
1.26; 0.01
1.26; 0.01
