values; percentile
470.56; 0.00
470.86; 0.00
471.00; 0.00
471.07; 0.00
471.34; 0.00
471.64; 0.00
471.73; 0.00
472.37; 0.00
472.41; 0.00
472.85; 0.00
472.91; 0.00
473.01; 0.00
473.08; 0.00
473.11; 0.00
473.29; 0.01
473.38; 0.01
473.39; 0.01
473.41; 0.01
473.63; 0.01
473.72; 0.01
473.73; 0.01
473.91; 0.01
474.07; 0.01
474.58; 0.01
474.63; 0.01
474.66; 0.01
474.73; 0.01
474.75; 0.01
474.81; 0.01
475.02; 0.01
475.06; 0.01
475.08; 0.01
475.12; 0.01
475.14; 0.01
475.18; 0.01
475.29; 0.01
475.31; 0.01
475.34; 0.01
475.36; 0.01
475.38; 0.01
475.49; 0.01
475.51; 0.01
475.57; 0.02
475.58; 0.02
475.61; 0.02
475.62; 0.02
475.70; 0.02
475.73; 0.02
475.76; 0.02
475.79; 0.02
475.81; 0.02
475.83; 0.02
475.87; 0.02
475.96; 0.02
476.00; 0.02
476.01; 0.02
476.04; 0.02
476.09; 0.02
476.12; 0.02
476.13; 0.02
476.13; 0.02
476.20; 0.02
476.23; 0.02
476.24; 0.02
476.24; 0.02
476.29; 0.02
476.35; 0.02
476.36; 0.02
476.37; 0.02
476.37; 0.02
476.38; 0.02
476.39; 0.03
476.44; 0.03
476.45; 0.03
476.51; 0.03
476.53; 0.03
476.64; 0.03
476.65; 0.03
476.70; 0.03
476.71; 0.03
476.74; 0.03
476.74; 0.03
476.82; 0.03
476.82; 0.03
476.85; 0.03
476.87; 0.03
476.88; 0.03
477.03; 0.03
477.08; 0.03
477.08; 0.03
477.13; 0.03
477.15; 0.03
477.17; 0.03
477.19; 0.03
477.20; 0.03
477.25; 0.03
477.29; 0.03
477.34; 0.03
477.37; 0.03
477.39; 0.03
477.40; 0.03
477.40; 0.03
477.43; 0.04
477.43; 0.04
477.44; 0.04
477.46; 0.04
477.48; 0.04
477.50; 0.04
477.54; 0.04
477.56; 0.04
477.58; 0.04
477.59; 0.04
477.63; 0.04
477.65; 0.04
477.68; 0.04
477.71; 0.04
477.75; 0.04
477.77; 0.04
477.77; 0.04
477.85; 0.04
477.86; 0.04
477.86; 0.04
477.87; 0.04
477.87; 0.04
477.92; 0.04
478.00; 0.04
478.01; 0.04
478.02; 0.04
478.03; 0.04
478.08; 0.04
478.10; 0.05
478.11; 0.05
478.12; 0.05
478.13; 0.05
478.21; 0.05
478.24; 0.05
478.26; 0.05
478.26; 0.05
478.27; 0.05
478.27; 0.05
478.28; 0.05
478.30; 0.05
478.30; 0.05
478.30; 0.05
478.32; 0.05
478.33; 0.05
478.34; 0.05
478.35; 0.05
478.41; 0.05
478.49; 0.05
478.49; 0.05
478.55; 0.05
478.55; 0.05
478.60; 0.05
478.62; 0.05
478.62; 0.05
478.68; 0.05
478.69; 0.05
478.70; 0.05
478.72; 0.06
478.73; 0.06
478.75; 0.06
478.77; 0.06
478.81; 0.06
478.82; 0.06
478.83; 0.06
478.84; 0.06
478.85; 0.06
478.89; 0.06
478.90; 0.06
478.95; 0.06
478.99; 0.06
479.00; 0.06
479.05; 0.06
479.06; 0.06
479.07; 0.06
479.10; 0.06
479.13; 0.06
479.14; 0.06
479.18; 0.06
479.20; 0.06
479.30; 0.06
479.33; 0.06
479.33; 0.06
479.34; 0.06
479.35; 0.06
479.36; 0.06
479.38; 0.06
479.39; 0.07
479.39; 0.07
479.50; 0.07
479.51; 0.07
479.51; 0.07
479.58; 0.07
479.65; 0.07
479.65; 0.07
479.67; 0.07
479.73; 0.07
479.74; 0.07
479.75; 0.07
479.80; 0.07
479.84; 0.07
479.85; 0.07
479.95; 0.07
479.96; 0.07
479.99; 0.07
480.00; 0.07
480.00; 0.07
480.01; 0.07
480.10; 0.07
480.14; 0.07
480.22; 0.07
480.25; 0.07
480.34; 0.07
480.34; 0.08
480.35; 0.08
480.42; 0.08
480.47; 0.08
480.48; 0.08
480.49; 0.08
480.50; 0.08
480.51; 0.08
480.53; 0.08
480.53; 0.08
480.55; 0.08
480.57; 0.08
480.57; 0.08
480.59; 0.08
480.60; 0.08
480.61; 0.08
480.62; 0.08
480.63; 0.08
480.64; 0.08
480.65; 0.08
480.67; 0.08
480.71; 0.08
480.75; 0.08
480.77; 0.08
480.78; 0.08
480.81; 0.08
480.82; 0.08
480.83; 0.08
480.83; 0.08
480.87; 0.08
480.90; 0.08
480.92; 0.08
480.96; 0.08
480.99; 0.09
481.03; 0.09
481.06; 0.09
481.10; 0.09
481.11; 0.09
481.11; 0.09
481.13; 0.09
481.21; 0.09
481.25; 0.09
481.25; 0.09
481.26; 0.09
481.29; 0.09
481.30; 0.09
481.31; 0.09
481.32; 0.09
481.34; 0.09
481.35; 0.09
481.36; 0.09
481.37; 0.09
481.38; 0.09
481.45; 0.09
481.45; 0.09
481.47; 0.09
481.47; 0.09
481.52; 0.09
481.53; 0.09
481.63; 0.09
481.65; 0.09
481.65; 0.09
481.71; 0.09
481.80; 0.10
481.82; 0.10
481.86; 0.10
481.89; 0.10
482.00; 0.10
482.00; 0.10
482.02; 0.10
482.05; 0.10
482.07; 0.10
482.08; 0.10
482.09; 0.10
482.10; 0.10
482.10; 0.10
482.11; 0.10
482.15; 0.10
482.24; 0.10
482.27; 0.10
482.30; 0.10
482.31; 0.10
482.31; 0.10
482.33; 0.10
482.35; 0.10
482.36; 0.10
482.38; 0.10
482.41; 0.10
482.43; 0.10
482.44; 0.10
482.46; 0.10
482.58; 0.10
482.58; 0.10
482.62; 0.10
482.64; 0.10
482.66; 0.11
482.67; 0.11
482.73; 0.11
482.77; 0.11
482.78; 0.11
482.80; 0.11
482.82; 0.11
482.89; 0.11
482.99; 0.11
483.02; 0.11
483.05; 0.11
483.05; 0.11
483.08; 0.11
483.11; 0.11
483.12; 0.11
483.12; 0.11
483.13; 0.11
483.19; 0.11
483.27; 0.11
483.27; 0.11
483.28; 0.11
483.28; 0.11
483.28; 0.11
483.30; 0.11
483.31; 0.11
483.47; 0.11
483.49; 0.11
483.52; 0.11
483.53; 0.12
483.57; 0.12
483.69; 0.12
483.75; 0.12
483.75; 0.12
483.78; 0.12
483.84; 0.12
483.89; 0.12
483.98; 0.12
483.99; 0.12
483.99; 0.12
484.07; 0.12
484.10; 0.12
484.14; 0.12
484.20; 0.12
484.24; 0.12
484.27; 0.12
484.33; 0.12
484.36; 0.12
484.38; 0.12
484.38; 0.12
484.40; 0.12
484.41; 0.12
484.44; 0.12
484.48; 0.12
484.67; 0.12
484.72; 0.12
484.74; 0.12
484.79; 0.12
484.83; 0.12
484.91; 0.13
484.92; 0.13
484.93; 0.13
485.23; 0.13
485.31; 0.13
485.35; 0.13
485.35; 0.13
485.45; 0.13
485.49; 0.13
485.51; 0.13
485.54; 0.13
485.55; 0.13
485.59; 0.13
485.65; 0.13
485.82; 0.13
485.95; 0.13
486.04; 0.13
486.09; 0.13
486.16; 0.13
486.31; 0.13
486.41; 0.13
486.43; 0.13
486.44; 0.13
486.49; 0.13
486.55; 0.13
486.65; 0.13
486.82; 0.13
486.88; 0.13
486.97; 0.13
486.98; 0.13
487.00; 0.14
487.04; 0.14
487.07; 0.14
487.22; 0.14
487.23; 0.14
487.30; 0.14
487.37; 0.14
487.39; 0.14
487.39; 0.14
487.40; 0.14
487.43; 0.14
487.44; 0.14
487.48; 0.14
487.51; 0.14
487.55; 0.14
487.60; 0.14
487.69; 0.14
487.71; 0.14
487.71; 0.14
487.72; 0.14
487.76; 0.14
487.76; 0.14
487.78; 0.14
487.82; 0.14
487.87; 0.14
487.95; 0.14
488.01; 0.14
488.19; 0.14
488.27; 0.15
488.37; 0.15
488.48; 0.15
488.49; 0.15
488.58; 0.15
488.62; 0.15
488.68; 0.15
488.74; 0.15
488.87; 0.15
488.97; 0.15
489.00; 0.15
489.07; 0.15
489.09; 0.15
489.09; 0.15
489.11; 0.15
489.16; 0.15
489.26; 0.15
489.26; 0.15
489.31; 0.15
489.36; 0.15
489.37; 0.15
489.38; 0.15
489.41; 0.15
489.43; 0.15
489.58; 0.15
489.66; 0.15
489.73; 0.15
489.74; 0.15
489.81; 0.15
489.83; 0.15
489.84; 0.16
489.85; 0.16
489.85; 0.16
489.92; 0.16
490.06; 0.16
490.09; 0.16
490.19; 0.16
490.25; 0.16
490.25; 0.16
490.27; 0.16
490.40; 0.16
490.44; 0.16
490.44; 0.16
490.47; 0.16
490.57; 0.16
490.57; 0.16
490.58; 0.16
490.65; 0.16
490.85; 0.16
490.89; 0.16
490.96; 0.16
491.13; 0.16
491.15; 0.16
491.25; 0.16
491.33; 0.16
491.53; 0.16
491.58; 0.16
491.58; 0.16
491.62; 0.16
491.62; 0.16
491.63; 0.17
491.67; 0.17
491.69; 0.17
491.78; 0.17
491.81; 0.17
491.83; 0.17
491.85; 0.17
491.91; 0.17
491.91; 0.17
491.94; 0.17
492.07; 0.17
492.09; 0.17
492.11; 0.17
492.12; 0.17
492.22; 0.17
492.25; 0.17
492.37; 0.17
492.42; 0.17
492.48; 0.17
492.62; 0.17
492.64; 0.17
492.68; 0.17
492.73; 0.17
492.82; 0.17
492.83; 0.17
492.87; 0.17
492.90; 0.17
492.91; 0.17
493.00; 0.17
493.04; 0.17
493.06; 0.18
493.08; 0.18
493.14; 0.18
493.24; 0.18
493.26; 0.18
493.28; 0.18
493.29; 0.18
493.29; 0.18
493.34; 0.18
493.37; 0.18
493.48; 0.18
493.60; 0.18
493.62; 0.18
493.63; 0.18
493.68; 0.18
493.75; 0.18
493.76; 0.18
493.92; 0.18
493.97; 0.18
493.98; 0.18
494.01; 0.18
494.13; 0.18
494.17; 0.18
494.17; 0.18
494.18; 0.18
494.19; 0.18
494.36; 0.18
494.40; 0.18
494.40; 0.18
494.49; 0.18
494.56; 0.18
494.60; 0.18
494.62; 0.18
494.65; 0.19
494.67; 0.19
494.82; 0.19
494.85; 0.19
494.87; 0.19
494.92; 0.19
495.08; 0.19
495.11; 0.19
495.19; 0.19
495.30; 0.19
495.34; 0.19
495.42; 0.19
495.44; 0.19
495.48; 0.19
495.57; 0.19
495.58; 0.19
495.58; 0.19
495.66; 0.19
495.77; 0.19
495.85; 0.19
495.90; 0.19
495.90; 0.19
496.05; 0.19
496.12; 0.19
496.15; 0.19
496.16; 0.19
496.35; 0.19
496.37; 0.19
496.41; 0.19
496.50; 0.19
496.75; 0.20
496.77; 0.20
496.87; 0.20
496.95; 0.20
496.98; 0.20
497.01; 0.20
497.13; 0.20
497.22; 0.20
497.26; 0.20
497.40; 0.20
497.48; 0.20
497.55; 0.20
497.64; 0.20
497.86; 0.20
497.91; 0.20
497.91; 0.20
497.96; 0.20
498.20; 0.20
498.31; 0.20
498.37; 0.20
498.98; 0.20
499.05; 0.20
499.12; 0.20
499.22; 0.20
499.27; 0.20
499.46; 0.20
499.48; 0.20
499.62; 0.20
499.79; 0.20
499.84; 0.20
500.58; 0.21
500.66; 0.21
500.88; 0.21
500.92; 0.21
501.03; 0.21
501.20; 0.21
501.29; 0.21
501.44; 0.21
501.80; 0.21
501.82; 0.21
501.84; 0.21
501.91; 0.21
501.92; 0.21
502.18; 0.21
502.19; 0.21
502.21; 0.21
502.58; 0.21
502.63; 0.21
502.64; 0.21
502.83; 0.21
502.86; 0.21
502.98; 0.21
