values; percentile
-12.32; 0.00
-11.78; 0.00
-10.81; 0.00
-9.76; 0.00
-9.75; 0.00
-9.38; 0.00
-9.37; 0.00
-9.25; 0.00
-9.00; 0.00
-8.92; 0.00
-8.87; 0.00
-8.86; 0.00
-8.85; 0.00
-8.79; 0.00
-8.63; 0.00
-8.53; 0.00
-8.52; 0.00
-8.51; 0.00
-8.50; 0.00
-8.46; 0.00
-8.43; 0.00
-8.42; 0.00
-8.39; 0.00
-8.36; 0.00
-8.35; 0.00
-8.32; 0.00
-8.29; 0.00
-8.27; 0.00
-8.26; 0.00
-8.21; 0.00
-8.19; 0.00
-8.14; 0.00
-8.13; 0.00
-8.12; 0.00
-8.04; 0.00
-8.02; 0.00
-7.98; 0.00
-7.95; 0.00
-7.92; 0.00
-7.91; 0.00
-7.90; 0.00
-7.89; 0.00
-7.86; 0.00
-7.83; 0.00
-7.82; 0.00
-7.80; 0.00
-7.79; 0.00
-7.78; 0.00
-7.75; 0.00
-7.71; 0.00
-7.70; 0.00
-7.68; 0.00
-7.67; 0.00
-7.66; 0.00
-7.65; 0.00
-7.64; 0.00
-7.63; 0.00
-7.62; 0.00
-7.60; 0.00
-7.57; 0.00
-7.56; 0.00
-7.55; 0.00
-7.54; 0.00
-7.53; 0.00
-7.52; 0.00
-7.51; 0.00
-7.50; 0.00
-7.49; 0.00
-7.48; 0.00
-7.47; 0.00
-7.46; 0.00
-7.45; 0.00
-7.43; 0.00
-7.42; 0.00
-7.41; 0.00
-7.40; 0.00
-7.39; 0.00
-7.38; 0.00
-7.37; 0.00
-7.36; 0.00
-7.35; 0.00
-7.34; 0.00
-7.33; 0.00
-7.32; 0.00
-7.31; 0.00
-7.30; 0.00
-7.29; 0.00
-7.28; 0.00
-7.27; 0.00
-7.26; 0.00
-7.25; 0.00
-7.24; 0.00
-7.23; 0.00
-7.22; 0.00
-7.21; 0.00
-7.20; 0.00
-7.19; 0.00
-7.18; 0.00
-7.17; 0.00
-7.16; 0.00
-7.15; 0.00
-7.14; 0.00
-7.13; 0.00
-7.12; 0.00
-7.11; 0.00
-7.10; 0.00
-7.09; 0.00
-7.08; 0.00
-7.07; 0.00
-7.06; 0.00
-7.05; 0.00
-7.04; 0.00
-7.03; 0.00
-7.02; 0.00
-7.01; 0.00
-7.00; 0.00
-6.99; 0.00
-6.98; 0.00
-6.97; 0.00
-6.96; 0.00
-6.95; 0.00
-6.94; 0.00
-6.93; 0.00
-6.92; 0.00
-6.91; 0.00
-6.90; 0.00
-6.89; 0.00
-6.88; 0.00
-6.87; 0.00
-6.86; 0.00
-6.85; 0.01
-6.84; 0.01
-6.83; 0.01
-6.82; 0.01
-6.81; 0.01
-6.80; 0.01
-6.79; 0.01
-6.78; 0.01
-6.77; 0.01
-6.76; 0.01
-6.75; 0.01
-6.74; 0.01
-6.73; 0.01
-6.72; 0.01
-6.71; 0.01
-6.70; 0.01
-6.69; 0.01
-6.68; 0.01
-6.67; 0.01
-6.66; 0.01
-6.65; 0.01
-6.64; 0.01
-6.63; 0.01
-6.62; 0.01
-6.61; 0.01
-6.60; 0.01
-6.59; 0.01
-6.58; 0.01
-6.57; 0.01
-6.56; 0.01
-6.55; 0.01
-6.54; 0.01
-6.53; 0.01
-6.52; 0.01
-6.51; 0.01
-6.50; 0.01
-6.49; 0.01
-6.48; 0.01
-6.47; 0.01
-6.46; 0.01
-6.45; 0.01
-6.44; 0.01
-6.43; 0.01
-6.42; 0.01
-6.41; 0.01
-6.40; 0.01
-6.39; 0.01
-6.38; 0.01
-6.37; 0.01
-6.36; 0.01
-6.35; 0.01
-6.34; 0.01
-6.33; 0.01
-6.32; 0.01
-6.31; 0.01
-6.30; 0.01
-6.29; 0.01
-6.28; 0.01
-6.27; 0.01
-6.26; 0.01
-6.25; 0.02
-6.24; 0.02
-6.23; 0.02
-6.22; 0.02
-6.21; 0.02
-6.20; 0.02
-6.19; 0.02
-6.18; 0.02
-6.17; 0.02
-6.16; 0.02
-6.15; 0.02
-6.14; 0.02
-6.13; 0.02
-6.12; 0.02
-6.11; 0.02
-6.10; 0.02
-6.09; 0.02
-6.08; 0.02
-6.07; 0.02
-6.06; 0.02
-6.05; 0.02
-6.04; 0.02
-6.03; 0.02
-6.02; 0.02
-6.01; 0.02
-6.00; 0.02
-5.99; 0.02
-5.98; 0.02
-5.97; 0.02
-5.96; 0.02
-5.95; 0.02
-5.94; 0.02
-5.93; 0.02
-5.92; 0.02
-5.91; 0.02
-5.90; 0.02
-5.89; 0.02
-5.88; 0.02
-5.87; 0.02
-5.86; 0.02
-5.85; 0.02
-5.84; 0.02
-5.83; 0.02
-5.82; 0.02
-5.81; 0.02
-5.80; 0.02
-5.79; 0.02
-5.78; 0.02
-5.77; 0.02
-5.76; 0.02
-5.75; 0.02
-5.74; 0.02
-5.73; 0.02
-5.72; 0.02
-5.71; 0.02
-5.70; 0.02
-5.69; 0.02
-5.68; 0.02
-5.67; 0.03
-5.66; 0.03
-5.65; 0.03
-5.64; 0.03
-5.63; 0.03
-5.62; 0.03
-5.61; 0.03
-5.60; 0.03
-5.59; 0.03
-5.58; 0.03
-5.57; 0.03
-5.56; 0.03
-5.55; 0.03
-5.54; 0.03
-5.53; 0.03
-5.52; 0.03
-5.51; 0.03
-5.50; 0.03
-5.49; 0.03
-5.48; 0.03
-5.47; 0.03
-5.46; 0.03
-5.45; 0.03
-5.44; 0.03
-5.43; 0.03
-5.42; 0.03
-5.41; 0.03
-5.40; 0.03
-5.39; 0.03
-5.38; 0.03
-5.37; 0.03
-5.36; 0.03
-5.35; 0.03
-5.34; 0.03
-5.33; 0.03
-5.32; 0.03
-5.31; 0.03
-5.30; 0.03
-5.29; 0.03
-5.28; 0.03
-5.27; 0.03
-5.26; 0.04
-5.25; 0.04
-5.24; 0.04
-5.23; 0.04
-5.22; 0.04
-5.21; 0.04
-5.20; 0.04
-5.19; 0.04
-5.18; 0.04
-5.17; 0.04
-5.16; 0.04
-5.15; 0.04
-5.14; 0.04
-5.13; 0.04
-5.12; 0.04
-5.11; 0.04
-5.10; 0.04
-5.09; 0.04
-5.08; 0.04
-5.07; 0.04
-5.06; 0.04
-5.05; 0.04
-5.04; 0.04
-5.03; 0.04
-5.02; 0.04
-5.01; 0.04
-5.00; 0.04
-4.99; 0.04
-4.98; 0.04
-4.97; 0.04
-4.96; 0.04
-4.95; 0.04
-4.94; 0.04
-4.93; 0.04
-4.92; 0.04
-4.91; 0.04
-4.90; 0.04
-4.89; 0.04
-4.88; 0.04
-4.87; 0.04
-4.86; 0.04
-4.85; 0.04
-4.84; 0.04
-4.83; 0.04
-4.82; 0.04
-4.81; 0.04
-4.80; 0.04
-4.79; 0.04
-4.78; 0.04
-4.77; 0.04
-4.76; 0.04
-4.75; 0.05
-4.74; 0.05
-4.73; 0.05
-4.72; 0.05
-4.71; 0.05
-4.70; 0.05
-4.69; 0.05
-4.68; 0.05
-4.67; 0.05
-4.66; 0.05
-4.65; 0.05
-4.64; 0.05
-4.63; 0.05
-4.62; 0.05
-4.61; 0.05
-4.60; 0.05
-4.59; 0.05
-4.58; 0.05
-4.57; 0.05
-4.56; 0.05
-4.55; 0.05
-4.54; 0.05
-4.53; 0.05
-4.52; 0.05
-4.51; 0.05
-4.50; 0.05
-4.49; 0.05
-4.48; 0.05
-4.47; 0.05
-4.46; 0.05
-4.45; 0.05
-4.44; 0.05
-4.43; 0.05
-4.42; 0.05
-4.41; 0.05
-4.40; 0.05
-4.39; 0.05
-4.38; 0.05
-4.37; 0.05
-4.36; 0.05
-4.35; 0.05
-4.34; 0.05
-4.33; 0.05
-4.32; 0.05
-4.31; 0.05
-4.30; 0.05
-4.29; 0.05
-4.28; 0.05
-4.27; 0.05
-4.26; 0.05
-4.25; 0.05
-4.24; 0.05
-4.23; 0.05
-4.22; 0.05
-4.21; 0.05
-4.20; 0.05
-4.19; 0.05
-4.18; 0.05
-4.17; 0.05
-4.16; 0.05
-4.15; 0.05
-4.14; 0.05
-4.13; 0.05
-4.12; 0.05
-4.11; 0.05
-4.10; 0.05
-4.09; 0.05
-4.08; 0.05
-4.07; 0.05
-4.06; 0.05
-4.05; 0.05
-4.04; 0.05
-4.03; 0.05
-4.02; 0.05
-4.01; 0.05
-4.00; 0.05
-3.99; 0.05
-3.98; 0.06
-3.97; 0.06
-3.96; 0.06
-3.95; 0.06
-3.94; 0.06
-3.93; 0.06
-3.92; 0.06
-3.91; 0.06
-3.90; 0.06
-3.89; 0.06
-3.88; 0.06
-3.87; 0.06
-3.86; 0.06
-3.85; 0.06
-3.84; 0.06
-3.83; 0.06
-3.82; 0.06
-3.81; 0.06
-3.80; 0.06
-3.79; 0.06
-3.78; 0.06
-3.77; 0.06
-3.76; 0.06
-3.75; 0.06
-3.74; 0.06
-3.73; 0.06
-3.72; 0.06
-3.71; 0.06
-3.70; 0.06
-3.69; 0.06
-3.68; 0.06
-3.67; 0.06
-3.66; 0.06
-3.65; 0.06
-3.64; 0.06
-3.63; 0.06
-3.62; 0.06
-3.61; 0.06
-3.60; 0.06
-3.59; 0.06
-3.58; 0.06
-3.57; 0.06
-3.56; 0.06
-3.55; 0.06
-3.54; 0.06
-3.53; 0.06
-3.52; 0.06
-3.51; 0.06
-3.50; 0.07
-3.49; 0.07
-3.48; 0.07
-3.47; 0.07
-3.46; 0.07
-3.45; 0.07
-3.44; 0.07
-3.43; 0.07
-3.42; 0.07
-3.41; 0.07
-3.40; 0.07
-3.39; 0.07
-3.38; 0.07
-3.37; 0.07
-3.36; 0.07
-3.35; 0.07
-3.34; 0.07
-3.33; 0.07
-3.32; 0.07
-3.31; 0.07
-3.30; 0.07
-3.29; 0.07
-3.28; 0.07
-3.27; 0.07
-3.26; 0.07
-3.25; 0.07
-3.24; 0.07
-3.23; 0.07
-3.22; 0.07
-3.21; 0.07
-3.20; 0.07
-3.19; 0.07
-3.18; 0.07
-3.17; 0.07
-3.16; 0.08
