values; percentile
6.62; 0.00
6.62; 0.00
6.65; 0.00
6.67; 0.00
6.94; 0.00
6.98; 0.00
7.00; 0.00
7.01; 0.00
7.01; 0.00
7.02; 0.00
7.03; 0.00
7.03; 0.00
7.03; 0.01
7.03; 0.01
7.03; 0.01
7.03; 0.01
7.03; 0.01
7.04; 0.01
7.04; 0.01
7.04; 0.01
7.04; 0.01
7.04; 0.01
7.06; 0.01
7.09; 0.01
7.09; 0.01
7.09; 0.01
7.10; 0.01
7.11; 0.01
7.11; 0.01
7.18; 0.01
7.19; 0.01
7.33; 0.01
7.34; 0.01
7.36; 0.01
7.39; 0.01
7.39; 0.01
7.40; 0.01
7.40; 0.01
7.40; 0.01
7.41; 0.01
7.41; 0.01
7.41; 0.01
7.42; 0.02
7.42; 0.02
7.42; 0.02
7.42; 0.02
7.42; 0.02
7.42; 0.02
7.42; 0.02
7.42; 0.02
7.43; 0.02
7.43; 0.02
7.43; 0.02
7.43; 0.02
7.43; 0.03
7.43; 0.03
7.43; 0.03
7.43; 0.03
7.43; 0.03
7.44; 0.03
7.44; 0.03
7.44; 0.03
7.44; 0.03
7.44; 0.03
7.44; 0.03
7.45; 0.03
7.45; 0.03
7.45; 0.03
7.45; 0.03
7.45; 0.03
7.45; 0.03
7.46; 0.03
7.46; 0.04
7.46; 0.04
7.47; 0.04
7.47; 0.04
7.48; 0.04
7.48; 0.04
7.49; 0.04
7.49; 0.04
7.49; 0.04
7.49; 0.04
7.50; 0.04
7.50; 0.04
7.50; 0.04
7.51; 0.04
7.51; 0.04
7.51; 0.04
7.51; 0.04
7.52; 0.04
7.52; 0.04
7.52; 0.04
7.52; 0.04
7.52; 0.04
7.54; 0.04
7.54; 0.04
7.55; 0.04
7.55; 0.04
7.57; 0.04
7.60; 0.04
7.62; 0.04
7.62; 0.05
7.63; 0.05
7.63; 0.05
7.65; 0.05
7.71; 0.05
7.72; 0.05
7.73; 0.05
7.74; 0.05
7.74; 0.05
7.75; 0.05
7.76; 0.05
7.76; 0.05
7.78; 0.05
7.78; 0.05
7.78; 0.05
7.79; 0.05
7.79; 0.05
7.79; 0.05
7.79; 0.05
7.79; 0.05
7.79; 0.05
7.80; 0.05
7.80; 0.05
7.80; 0.05
7.80; 0.05
7.80; 0.06
7.80; 0.06
7.81; 0.06
7.81; 0.06
7.81; 0.06
7.81; 0.06
7.82; 0.06
7.82; 0.06
7.82; 0.06
7.82; 0.06
7.82; 0.06
7.82; 0.06
7.82; 0.06
7.82; 0.07
7.82; 0.07
7.82; 0.07
7.83; 0.07
7.83; 0.07
7.83; 0.08
7.83; 0.08
7.83; 0.08
7.83; 0.08
7.83; 0.09
7.83; 0.09
7.83; 0.09
7.83; 0.09
7.83; 0.09
7.84; 0.10
7.84; 0.10
7.84; 0.10
7.84; 0.10
7.84; 0.10
7.84; 0.10
7.84; 0.10
7.84; 0.10
7.84; 0.10
7.84; 0.11
7.85; 0.11
7.85; 0.11
7.85; 0.11
7.85; 0.11
7.85; 0.11
7.85; 0.11
7.85; 0.11
7.85; 0.11
