values; percentile
-37.14; 0.00
-35.16; 0.00
-34.82; 0.00
-34.33; 0.00
-34.19; 0.00
-34.17; 0.00
-34.15; 0.00
-34.12; 0.00
-34.10; 0.00
-34.09; 0.00
-34.08; 0.00
-34.07; 0.00
-34.06; 0.00
-34.05; 0.00
-34.03; 0.00
-34.02; 0.00
-34.01; 0.00
-34.00; 0.00
-33.97; 0.00
-33.96; 0.00
-33.95; 0.00
-33.93; 0.00
-33.92; 0.00
-33.91; 0.00
-33.89; 0.00
-33.87; 0.00
-33.86; 0.00
-33.84; 0.00
-33.83; 0.00
-33.82; 0.00
-33.81; 0.00
-33.80; 0.00
-33.79; 0.00
-33.78; 0.00
-33.77; 0.00
-33.76; 0.00
-33.75; 0.00
-33.74; 0.00
-33.73; 0.00
-33.72; 0.00
-33.71; 0.00
-33.70; 0.00
-33.69; 0.00
-33.68; 0.00
-33.67; 0.00
-33.66; 0.00
-33.65; 0.00
-33.64; 0.00
-33.63; 0.00
-33.62; 0.00
-33.61; 0.00
-33.60; 0.00
-33.59; 0.00
-33.58; 0.00
-33.57; 0.00
-33.56; 0.00
-33.55; 0.00
-33.54; 0.00
-33.53; 0.00
-33.52; 0.00
-33.51; 0.00
-33.50; 0.00
-33.49; 0.00
-33.48; 0.00
-33.47; 0.00
-33.46; 0.00
-33.45; 0.00
-33.44; 0.00
-33.43; 0.00
-33.42; 0.00
-33.41; 0.00
-33.40; 0.00
-33.39; 0.00
-33.38; 0.00
-33.37; 0.00
-33.36; 0.00
-33.35; 0.00
-33.34; 0.00
-33.33; 0.00
-33.32; 0.00
-33.31; 0.00
-33.30; 0.00
-33.29; 0.00
-33.27; 0.00
-33.26; 0.00
-33.25; 0.00
-33.24; 0.00
-33.23; 0.00
-33.22; 0.00
-33.21; 0.00
-33.20; 0.00
-33.19; 0.00
-33.18; 0.00
-33.17; 0.00
-33.16; 0.00
-33.15; 0.00
-33.13; 0.00
-33.12; 0.00
-33.11; 0.00
-33.10; 0.00
-33.09; 0.00
-33.08; 0.01
-33.07; 0.01
-33.06; 0.01
-33.05; 0.01
-33.04; 0.01
-33.03; 0.01
-33.02; 0.01
-33.01; 0.01
-33.00; 0.01
-32.99; 0.01
-32.98; 0.01
-32.97; 0.01
-32.95; 0.01
-32.94; 0.01
-32.93; 0.01
-32.92; 0.01
-32.91; 0.01
-32.90; 0.01
-32.89; 0.01
-32.88; 0.01
-32.87; 0.01
-32.86; 0.01
-32.85; 0.01
-32.84; 0.01
-32.83; 0.01
-32.81; 0.01
-32.79; 0.01
-32.78; 0.01
-32.77; 0.01
-32.76; 0.01
-32.75; 0.01
-32.74; 0.01
-32.73; 0.01
-32.72; 0.01
-32.71; 0.01
-32.69; 0.01
-32.68; 0.01
-32.67; 0.01
-32.66; 0.01
-32.65; 0.01
-32.63; 0.01
-32.62; 0.01
-32.61; 0.01
-32.60; 0.01
-32.59; 0.01
-32.58; 0.01
-32.57; 0.01
-32.56; 0.01
-32.55; 0.01
-32.54; 0.01
-32.53; 0.01
-32.52; 0.01
-32.51; 0.01
-32.50; 0.01
-32.49; 0.01
-32.48; 0.01
-32.47; 0.01
-32.46; 0.01
-32.45; 0.01
-32.44; 0.01
-32.43; 0.01
-32.42; 0.01
-32.41; 0.01
-32.40; 0.01
-32.39; 0.01
-32.38; 0.01
-32.37; 0.01
-32.36; 0.01
-32.35; 0.01
-32.34; 0.01
-32.33; 0.01
-32.32; 0.01
-32.31; 0.01
-32.30; 0.01
-32.29; 0.01
-32.28; 0.01
-32.27; 0.01
-32.26; 0.01
-32.25; 0.01
-32.24; 0.01
-32.22; 0.01
-32.21; 0.01
-32.20; 0.01
-32.19; 0.01
-32.17; 0.01
-32.16; 0.01
-32.15; 0.01
-32.14; 0.01
-32.13; 0.01
-32.12; 0.01
-32.11; 0.01
-32.10; 0.01
-32.09; 0.01
-32.08; 0.01
-32.07; 0.01
-32.06; 0.01
-32.05; 0.01
-32.04; 0.01
-32.03; 0.01
-32.02; 0.01
-32.01; 0.01
-32.00; 0.01
-31.99; 0.01
-31.98; 0.01
-31.97; 0.01
-31.96; 0.01
-31.95; 0.01
-31.94; 0.01
-31.93; 0.01
-31.91; 0.01
-31.90; 0.01
-31.89; 0.01
